ID,logFC,AveExpr,t,P.Value,adj.P.Value,B,label
KCNN2,3.655789372,666.1712773,16.53967432,1.90047E-61,1.44864E-59,30,yes
IGFBP4,3.645362674,583.0835922,19.20718163,3.22295E-82,3.12819E-80,30,yes
ADAMTS4,3.644308209,180.6246964,11.62090672,3.22693E-31,1.35783E-29,30,yes
NFKBIA,3.635415194,7688.087918,31.52256626,4.2629E-218,1.3492E-215,30,yes
CIITA,3.63500238,909.726678,19.03283248,9.1188E-81,8.67716E-79,30,yes
TIMP4,-3.627422323,425.9738425,-16.19545788,5.42921E-59,3.89379E-57,30,yes
SESN2,3.625490666,1340.392553,17.04223217,3.992E-65,3.22132E-63,30,yes
PNCK,-3.60816824,139.5360841,-10.56998639,4.10554E-26,1.50561E-24,30,yes
DLL4,3.580706613,707.4352496,18.9012283,1.11428E-79,1.03992E-77,30,yes
PHLDA1,3.569913567,1789.251495,18.75445158,1.78045E-78,1.61003E-76,30,yes
NMI,3.555774546,2127.545606,24.77841,1.5323E-135,2.6879E-133,30,yes
BMP7,-3.547453873,68.68793972,-7.267855893,3.65238E-13,8.28271E-12,30,yes
PLBD1,-3.530975012,168.5380913,-10.95836054,6.0587E-28,2.35223E-26,30,yes
HS3ST1,3.529241056,1146.139864,21.75515464,6.1738E-105,7.6173E-103,30,yes
TIGAR,3.528182524,981.3686754,20.63710543,1.27471E-94,1.43865E-92,30,yes
ENSSSCG00000025593,3.521186365,1779.484432,22.71193542,3.4147E-114,4.7347E-112,30,yes
CD80,3.501575311,446.7813375,15.18275395,4.60053E-52,3.00355E-50,30,yes
KCNJ16,-3.499547708,300.747624,-14.17623263,1.28566E-45,7.34034E-44,30,yes
FGD2,-3.478319461,98.91901836,-8.664221284,4.5461E-18,1.25353E-16,30,yes
IFIT5,3.473653037,16901.22522,24.51731962,9.6553E-133,1.6346E-130,30,yes
SRPX2,3.470655025,80.84473861,8.262826931,1.42262E-16,3.69198E-15,30,yes
NRP2,3.461107503,2640.654365,18.93216804,6.19591E-80,5.85755E-78,30,yes
SFXN3,-3.453936567,98.98234201,-8.741216332,2.30614E-18,6.40746E-17,30,yes
STAT1,3.42968947,20321.43715,27.20191215,6.1653E-163,1.2467E-160,30,yes
TMEM106A,3.399008304,355.3153513,14.06035462,6.65519E-45,3.72665E-43,30,yes
WNT9A,3.396553431,315.2812024,12.77423628,2.28378E-37,1.08305E-35,30,yes
PTHLH,3.395585421,790.7278816,17.9796055,2.81488E-72,2.46879E-70,30,yes
TRIM26,3.361661154,467.7708932,15.26054279,1.40078E-52,9.27E-51,30,yes
JAK3,-3.359936971,339.8021451,-13.53755565,9.38605E-42,5.00555E-40,30,yes
TDRD7,3.353149095,2721.450976,24.49750953,1.5702E-132,2.6277E-130,30,yes
GM2A,3.352153741,4340.773721,24.00850159,2.2667E-127,3.587E-125,30,yes
ABL2,3.350769827,10307.83368,23.3758739,7.5213E-121,1.1174E-118,30,yes
PRR15,-3.328380849,164.4483044,-10.63479384,2.05282E-26,7.54723E-25,30,yes
FAM198B,-3.319718388,157.2192637,-10.12941737,4.0908E-24,1.42143E-22,30,yes
TRIM21,3.313780187,2036.129548,24.13236087,1.1439E-128,1.8301E-126,30,yes
REC8,3.312091041,109.4255415,8.788738713,1.51248E-18,4.23466E-17,30,yes
BCAS1,-3.311845704,318.1239806,-13.78901407,2.96788E-43,1.61229E-41,30,yes
PLEKHA4,3.311633826,1508.52259,19.11887625,1.75856E-81,1.6844E-79,30,yes
COL14A1,-3.304705015,296.2552808,-12.91980032,3.48043E-38,1.70612E-36,30,yes
ERRFI1,3.28987497,2989.757154,17.84008142,3.45193E-71,2.93898E-69,30,yes
PRELID2,-3.288398269,1488.111212,-21.59037239,2.2122E-103,2.6618E-101,30,yes
AADAC,-3.287162872,102.6681984,-7.50325834,6.22507E-14,1.46652E-12,30,yes
CD40,3.25358182,2024.433827,22.48507106,5.8107E-112,7.8332E-110,30,yes
BIRC3,3.232080961,40375.33057,24.37513651,3.1392E-131,5.1936E-129,30,yes
THSD7A,3.230149595,78.34991532,7.605370262,2.84089E-14,6.79156E-13,30,yes
CYP24A1,-3.228975639,133.0770052,-9.265234665,1.94649E-20,5.91627E-19,30,yes
CD86,3.228084332,1691.364565,21.00518838,5.87999E-98,6.79419E-96,30,yes
CTGF,3.222330583,5528.769304,17.22518953,1.71864E-66,1.39786E-64,30,yes
ATG4A,3.220792343,122.4995037,9.423988053,4.34273E-21,1.35098E-19,30,yes
TEC,3.219927094,1294.785803,20.19720727,1.03593E-90,1.13399E-88,30,yes
SPTSSB,-3.216467731,130.6486704,-8.780520143,1.6272E-18,4.54711E-17,30,yes
