ID,c1,c2,c3,t1,t2,t3
ENSSSCG00000024975,0,0,0,0.164428818,0.222046112,0.115066695
ENSSSCG00000025097,0,0.03915707,0.133175783,0.912592027,1.105838767,1.593459321
ENSSSCG00000026943,0,0.007535879,0.017086683,0.342017671,0.286490522,0.21083244
ENSSSCG00000027855,0,2.243497475,0.635856939,56.41470632,58.48508236,42.79545646
ENSSSCG00000028711,0,0.037215474,0,4.838851669,6.063496017,5.91581236
ENSSSCG00000029658,0,0,0,0.955169937,1.066464002,0.84387246
ENSSSCG00000030029,0,0,0,19.10786379,19.19315275,17.93723098
ENSSSCG00000031524,0,0,0,8.020764384,6.987478307,7.339107218
ENSSSCG00000031610,0,0,0,0.944462923,1.602975546,1.142351185
ENSSSCG00000032296,0,0,0.040045253,2.469704336,2.148589896,2.470590296
ENSSSCG00000032652,0,0,0,73.55660789,85.16473624,75.32074834
ENSSSCG00000032777,0,0,0,30.73917575,20.63931645,25.56475406
ENSSSCG00000033255,0,0.641109492,0,7.864028743,7.660077628,10.19114635
ENSSSCG00000034469,0,0,0,0.601273495,0.468543724,0.49868922
ENSSSCG00000035099,0,0.066116264,0.018738815,0.68935053,0.789967577,0.75671376
ENSSSCG00000035365,0,1.372861857,0,13.47192671,13.42077599,11.34804409
ENSSSCG00000035415,0,0.116281819,0.296611617,6.882116491,7.325682445,5.841033953
ENSSSCG00000035966,0,0,0,0.231736821,0.303348269,0.14623899
ENSSSCG00000035998,0,0.071288865,0,10.31850061,17.80974972,8.703095581
ENSSSCG00000037821,0,0.008122947,0.009208894,0.13949369,0.202931636,0.16527777
ENSSSCG00000038080,0,0,0,0.457721693,0.780390182,0.552445231
ENSSSCG00000038180,0,0.003413479,0,0.035590082,0.025953952,0.026045293
ENSSSCG00000039300,0,0,0,4.912798546,3.667943428,3.195778653
ENSSSCG00000039367,0,0,0,0.217915691,0.285591719,0.189773567
ENSSSCG00000039706,0,0.021645224,0,8.708609288,9.40438386,7.432016413
ENSSSCG00000039847,0,0.034518115,0.013044266,12.18006196,12.99772771,12.56897316
ENSSSCG00000004270,0.00150722,0.004336173,0.002457935,0.034572667,0.050631801,0.045492667
ENSSSCG00000006035,0.002148199,0.001545057,0.001751614,0.100446157,0.078877059,0.096276761
ENSSSCG00000017003,0.002760591,0.005956531,0.00225095,0.046274166,0.071169569,0.05554892
ENSSSCG00000016855,0.003074558,0.011056627,0.003760432,0.078661741,0.099680233,0.08436353
ENSSSCG00000005699,0.004084614,0.002937792,0.003330542,1.04503768,0.934968471,0.806966742
ENSSSCG00000000837,0.004641682,0.016692271,0.003784768,0.237512408,0.261087572,0.244114787
ENSSSCG00000025085,0.004871589,0.002627858,0.000993058,0.033308516,0.027592241,0.033418179
ENSSSCG00000006932,0.006065786,0.013088154,0.004945964,0.652874708,0.653949924,0.810010788
